id,sport,brand,name,sku,current_url
mizuno-gpe1150f1-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 11.5"" Fastpitch Softball Glove: GPE1150F1",gpe1150f1,https://www.justballgloves.com/product/mizuno-prime-elite-11-5--fastpitch-softball-glove--gpe1150f1/?rfsn=9019128.19c2ec
mizuno-gpexf-40-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 11.5"" Fastpitch Softball Glove: GPEXF-40",gpexf-40,https://www.justballgloves.com/product/mizuno-prime-elite-11-5--fastpitch-softball-glove--gpexf-40/?rfsn=9019128.19c2ec
mizuno-gpe1175f1-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 11.75"" Fastpitch Softball Glove: GPE1175F1",gpe1175f1,https://www.justballgloves.com/product/mizuno-prime-elite-11-75--fastpitch-softball-glove--gpe1175f1/?rfsn=9019128.19c2ec
mizuno-gpexf-50-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 11.75"" Fastpitch Softball Glove: GPEXF-50",gpexf-50,https://www.justballgloves.com/product/mizuno-prime-elite-11-75--fastpitch-softball-glove--gpexf-50/?rfsn=9019128.19c2ec
mizuno-gpp1000f4-fastpitch,fastpitch,Mizuno,"Mizuno Prospect Finch 10"" Youth Fastpitch Softball Glove: GPP1000F4",gpp1000f4,https://www.justballgloves.com/product/mizuno-prospect-finch-10-youth--fastpitch-softball-glove--gpp1000f4/?rfsn=9019128.19c2ec
mizuno-gpp1100f4-fastpitch,fastpitch,Mizuno,"Mizuno Prospect Finch 11"" Youth Fastpitch Softball Glove: GPP1100F4",gpp1100f4,https://www.justballgloves.com/product/mizuno-prospect-finch-11-youth--fastpitch-softball-glove--gpp1100f4/?rfsn=9019128.19c2ec
mizuno-gpp1150f4-fastpitch,fastpitch,Mizuno,"Mizuno Prospect Finch 11.5"" Youth Fastpitch Softball Glove: GPP1150F4",gpp1150f4,https://www.justballgloves.com/product/mizuno-prospect-finch-11-5-youth--fastpitch-softball-glove--gpp1150f4/?rfsn=9019128.19c2ec
mizuno-gfn1200f5-fastpitch,fastpitch,Mizuno,"Mizuno Franchise 12"" Fastpitch Softball Glove: GFN1200F5",gfn1200f5,https://www.justballgloves.com/product/mizuno-franchise-12--fastpitch-softball-glove--gfn1200f5/?rfsn=9019128.19c2ec
mizuno-gpe1200f2-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 12"" Fastpitch Softball Glove: GPE1200F2",gpe1200f2,https://www.justballgloves.com/product/mizuno-prime-elite-12--fastpitch-softball-glove--gpe1200f2/?rfsn=9019128.19c2ec
mizuno-gpexf-10-fastpitch,fastpitch,Mizuno,"Mizuno Prime Elite 12"" Fastpitch Softball Glove: GPEXF-10",gpexf-10,https://www.justballgloves.com/product/mizuno-prime-elite-12--fastpitch-softball-glove--gpexf-10/?rfsn=9019128.19c2ec
mizuno-gpsf-10d-fastpitch,fastpitch,Mizuno,"Mizuno Pro Select 12"" Fastpitch Softball Glove: GPSF-10D",gpsf-10d,https://www.justballgloves.com/product/mizuno-pro-select-12--fastpitch-softball-glove--gpsf-10d/?rfsn=9019128.19c2ec
