id,name,brand,old_url,new_url,status,reason
easton-mywhy-2025-fastpitch,"Easton Elite 11.5"" Morgan Stuart Fastpitch Softball Glove: MYWHY-2025",Easton,https://www.justballgloves.com/product/easton-elite-11-5-morgan-stuart--fastpitch-softball-glove--mywhy-2025/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-elite-11-5--fastpitch-softball-glove--mywhy-2025/39081/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp115-fastpitch,"Easton Professional Collection 11.5"" Fastpitch Softball Glove: PCFP115",Easton,https://www.justballgloves.com/product/easton-professional-collection-11-5--fastpitch-softball-glove--pcfp115/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-11-5--fastpitch-softball-glove--pcfp115/34168/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp120-15c-fastpitch,"Easton Professional Collection ColorSplash 2.0 12"" Fastpitch Softball Glove: PCFP120-15C",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15c/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15c/38541/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp120-15gm-fastpitch,"Easton Professional Collection ColorSplash 2.0 12"" Fastpitch Softball Glove: PCFP120-15GM",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15gm/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12--fastpitch-softball-glove--pcfp120-15gm/38542/?rfsn=9019128.19c2ec,fixed,matched
easton-fmfp12-fastpitch,"Easton Fundamental 12"" Fastpitch Softball Glove: FMFP12",Easton,https://www.justballgloves.com/product/easton-fundamental-12--fastpitch-softball-glove--fmfp12/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-fundamental-12--fastpitch-softball-glove--fmfp12/35285/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp120-3wg-fastpitch,"Easton Professional Collection 12"" Fastpitch Softball Glove: PCFP120-3WG",Easton,https://www.justballgloves.com/product/easton-professional-collection-12--fastpitch-softball-glove--pcfp120-3wg/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-12--fastpitch-softball-glove--pcfp120-3wg/39090/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp715-2gm-fastpitch,"Easton Professional Collection ColorSplash 2.0 11.75"" Fastpitch Softball Glove: PCFP715-2GM",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-11-75--fastpitch-softball-glove--pcfp715-2gm/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-11-75--fastpitch-softball-glove--pcfp715-2gm/38548/?rfsn=9019128.19c2ec,fixed,matched
easton-fmfp13-fastpitch,"Easton Fundamental 13"" Fastpitch Softball Glove: FMFP13",Easton,https://www.justballgloves.com/product/easton-fundamental-13--fastpitch-softball-glove--fmfp13/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-fundamental-13--fastpitch-first-base-mitt--fmfp13/35287/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp130-6wg-fastpitch,"Easton Professional Collection 13"" Fastpitch Softball Glove: PCFP130-6WG",Easton,https://www.justballgloves.com/product/easton-professional-collection-13--fastpitch-softball-glove--pcfp130-6wg/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-13--fastpitch-softball-glove--pcfp130-6wg/39093/?rfsn=9019128.19c2ec,fixed,matched
easton-pcfp125-3gm-fastpitch,"Easton Professional Collection ColorSplash 2.0 12.5"" Fastpitch Softball Glove: PCFP125-3GM",Easton,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12-5--fastpitch-softball-glove--pcfp125-3gm/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/easton-professional-collection-colorsplash-2-0-12-5--fastpitch-softball-glove--pcfp125-3gm/38545/?rfsn=9019128.19c2ec,fixed,matched
marucci-mfgox230c2fp-tf-fastpitch,"Marucci Oxbow 33"" Fastpitch Softball Catcher's Mitt: MFGOX230C2FP-TF",Marucci,https://www.justballgloves.com/product/marucci-oxbow-33--fastpitch-softball-catchers-mitt--mfgox230c2fp-tf/?rfsn=9019128.19c2ec,https://www.justballgloves.com/product/marucci-oxbow-33--fastpitch-softball-catchers-mitt--mfgox230c2fp-tf/38104/?rfsn=9019128.19c2ec,fixed,matched
